n|rsc|name|format|dateCr|dateMo|id|size
381|dog-gardens-br7|GeoJSON-ITM|GeoJSON|2021-04-25|2023-03-06|daf7b0b5-3fdc-4fa0-9d68-e2ac30b5b629|22474
381|dog-gardens-br7|CSV-ITM|CSV|2023-02-07|2023-03-06|597efef2-fff2-4986-b878-f505e35d4543|1452
381|dog-gardens-br7|GeoXML-ITM|XML|2021-04-25|2023-03-06|94882e07-93e6-4f09-980b-a6a1b6d03a9c|32333
381|dog-gardens-br7|KML-ITM|KML|2021-04-25|2023-03-06|762e647f-a839-4a2f-97f6-753412ed9f90|13679
381|dog-gardens-br7|XLSX-ITM|XLSX|2021-04-26|2023-03-06|86277c99-cc8c-4aee-bcf9-86fcbe36cd39|6142
381|dog-gardens-br7|JSON-ITM|JSON|2021-04-26|2023-03-06|8db780c2-958e-43b8-8c3d-0d4161da1213|2537
381|dog-gardens-br7|XML-ITM|XML|2021-04-26|2023-03-06|31f65f34-5b3d-4683-8d2c-42650971764f|4556
382|domestic_pesticides|domestic_pesticides|CSV|2019-12-27|2023-03-23|2d741cd4-9c54-492c-8607-933deddb3094|38126
384|driving_shcool|בתי ספר לנהיגה|CSV|2018-10-28|2023-03-24|3f06e2f2-e2ad-41ac-9665-37d0625537f2|54779
385|drugs-rehab|אשפוזיות לגמילה מסמים ומאלכוהול.xlsx|XLSX|2022-06-15|2022-06-15|2b197f80-e3c9-4ac8-a734-b1a1625770ed|11235
386|druzim|תיקים|CSV|2019-12-15|2023-03-19|a5c62922-0f26-4104-9445-da6d8ce47aa5|2123635
386|druzim|דרוזים - חוזי נישואין|CSV|2021-02-12|2023-03-19|b8bdb0b0-b016-484e-b39f-395c93f50a3a|812920
386|druzim|פתיחת קובץ מאגר באמצעות תוכנת Excel|PDF|2021-02-25|2023-03-08|3e208236-b752-4ed1-8c80-54a0ddf1ec30|968126
387|druzim_kadim|דרוזים - קאדים|CSV|2019-12-15|2023-03-24|3c255886-3a49-4aad-b56a-d432c693717c|268
388|dynamic_wl_cl|מליחות שנתית באקוויפר החוף|ZIP|2023-02-28|2023-02-28|09cb448b-0fec-43f2-b921-ccbb0299e497|2780536
388|dynamic_wl_cl|מפלס שנתי באקוויפר החוף|ZIP|2023-02-28|2023-02-28|ef611855-592d-4a1f-9ee7-f1266bff23d9|4303697
388|dynamic_wl_cl|מפלס שנתי היסטורי - אקוויפר ההר הצפון מזרחי|ZIP|2023-02-28|2023-02-28|d53a6120-f6cb-4647-87e5-5848eb63768b|17734
388|dynamic_wl_cl|מפלס שנתי - תת היחידה התחתונה של אגן שורק|ZIP|2023-02-28|2023-02-28|b030ba36-4b13-4ce1-ad41-8512d6e6b0c6|91848
393|egd|גליון 2015 2 מטר - עין גדי|ZIP|2017-11-01|2017-11-01|f2a4ea15-16fa-46a5-b5ec-4dcef08959b7|None
395|elt|תצלום אויר 2015 2 מטר - גליון אילת|ZIP|2017-11-01|2017-11-01|1282b90f-8b1b-4fff-b9b7-caf6fbec1abb|None
396|emergency_phones|טלפונים למצבי חירום|XLSX|2022-02-14|2022-02-14|d0f0a13e-7e92-4baf-9293-e8db6d5caf81|9231
396|emergency_phones|Emergency Phones|XLSX|2022-02-21|2022-02-21|a5cb1ec6-8b78-4ff0-8b86-b6a6b3b48419|9229
397|emergencywatertanks|מיכלי מים בשעת חרום|CSV|2021-03-21|2023-02-09|3402ff6e-8b0e-4d96-b6e7-0f4ff4b8e74e|2364
398|employeetravel|נסיעות עובדים 2015|XLSX|2021-08-09|2021-08-10|483e6415-0ff8-460a-a9c8-63c0faf3a639|19915
398|employeetravel|נסיעות עובדים 2016|XLSX|2021-08-09|2021-08-10|7fb09266-b1ea-41af-8324-dd944c61a2d7|23513
398|employeetravel|נסיעות עובדים 2017|XLSX|2021-08-09|2021-08-10|8c8e1644-ceb5-41c7-a447-defe7158f723|28193
398|employeetravel|נסיעות עובדים 2018|XLSX|2021-08-09|2021-08-10|96b93e06-523f-446a-b857-c00f8bf5afc5|19814
398|employeetravel|נסיעות עובדים 2019|XLSX|2021-08-09|2021-08-10|90e5594c-1302-4472-a520-1e0f6c244547|29028
398|employeetravel|נסיעות עובדים 2020 |XLSX|2021-08-09|2022-07-26|2ca813d8-6211-4355-ad08-cc0d411b12c5|107052
398|employeetravel|ייעוץ וחקיקה 2019|XLSX|2021-10-13|2021-10-13|b2af2099-a597-4095-80e7-520e0d85e969|19690
399|employment|EMPLOYMENT_SHP|ZIP|2022-01-23|2023-02-20|3ab3311f-b715-40fb-90eb-b7e82349abc5|61691
399|employment|EMPLOYMENT_kmz|ZIP|2022-01-23|2023-02-20|eb24b7e0-6386-41ce-ba12-8ec0bb79ade1|82584
399|employment|EMPLOYMENT_CSV|CSV|2022-01-23|2023-02-20|24cfb983-b621-4f9c-a5f0-28c1da1218a5|13831
399|employment|מטאדאטה|XLSX|2022-01-26|2023-02-20|4be27282-17f2-428c-9a68-15774ee045d0|13764
